Item Fat Content,Item Identifier,Si No,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility, Sales ,Rating
Regular,FDX32,1,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1000135, $145.48 ,5
Low Fat,NCB42,2,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.008596051, $115.35 ,5
Regular,FDR28,3,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.025896485, $165.02 ,5
Regular,FDL50,4,Canned,2014,OUTO13,Tier 3,High,Supermarket Type1,0.042277867, $126.50 ,5
Low Fat,DRI25,5,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.033970195, $55.16 ,5
low fat,FDS52,6,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.005505481, $102.40 ,5
Low Fat,NCU05,7,Health and Hygiene,2011,OUT010,Tier 3,Small,Grocery Store,0.098312421, $81.46 ,5
Low Fat,NCD30,8,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.026903714, $96.07 ,5
Low Fat,FDW20,9,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.024129332, $124.17 ,5
Low Fat,FDX25,10,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.101561568, $181.93 ,5
Low Fat,FDX21,11,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.084554569, $109.89 ,5
Low Fat,NCU41,12,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.052044976, $192.18 ,5
Low Fat,FDL20,13,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.128937661, $112.39 ,5
Low Fat,NCR54,14,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.090486828, $195.21 ,5
Low Fat,FDH19,15,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.03292824, $173.17 ,5
Regular,FDB57,16,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.018801549, $222.18 ,5
Low Fat,FDO23,17,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.147023834, $93.74 ,5
Low Fat,NCB07,18,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.077628053, $197.61 ,5
Low Fat,FDJ56,19,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.182514881, $98.77 ,5
Low Fat,DRN47,20,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.016895293, $178.57 ,5
Regular,FDZ07,21,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0, $60.22 ,5
Low Fat,NCK31,22,Others,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.026916794, $50.97 ,5
Low Fat,FDJ41,23,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.022976497, $261.66 ,5
Low Fat,DRI51,24,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.042413704, $173.18 ,5
Regular,FDC40,25,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.065431917, $76.20 ,5
Low Fat,FDB53,26,Frozen Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.140241213, $150.24 ,5
Low Fat,FDA16,27,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.033935576, $221.95 ,5
Regular,FDO19,28,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.016516275, $47.40 ,5
Low Fat,FDO04,29,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.026537206, $57.26 ,5
Regular,FDL25,30,Breakfast,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.131128467, $93.18 ,5
Low Fat,NCJ30,31,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.080640478, $167.78 ,5
Low Fat,NCQ41,32,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.01946418, $196.38 ,5
Low Fat,DRJ35,33,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.046545786, $59.99 ,5
Low Fat,NCE31,34,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.184689756, $35.42 ,5
Low Fat,FDY09,35,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.025342692, $174.31 ,5
low fat,FDZ04,36,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.037923509, $61.65 ,5
Low Fat,FDY07,37,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.121848436, $46.84 ,5
Regular,FDO45,38,Snack Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.038029746, $88.69 ,5
Low Fat,FDB09,39,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.057485328, $126.20 ,5
Regular,FDP51,40,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.085274988, $119.61 ,5
Regular,FDT50,41,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.108148913, $95.68 ,5
Regular,FDQ08,42,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.018838681, $62.95 ,5
Low Fat,DRL11,43,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.048115543, $159.09 ,5
Low Fat,FDT34,44,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.174621343, $104.30 ,5
Regular,FDP01,45,Breakfast,2011,OUT010,Tier 3,Medium,Grocery Store,0.105994654, $150.57 ,5
Low Fat,NCJ31,46,Others,2014,OUT013,Tier 3,High,Supermarket Type1,0.182501773, $239.22 ,5
Low Fat,NCL30,47,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.048931174, $127.33 ,5
Low Fat,FDF04,48,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.013658248, $256.33 ,5
Low Fat,NCZ42,49,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.011305479, $235.52 ,5
Low Fat,FDG24,50,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.014653896, $82.43 ,5
Low Fat,FDV49,51,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.025867353, $264.62 ,5
Low Fat,FDX01,52,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.024201905, $114.92 ,5
Low Fat,DRF27,53,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.028461453, $152.23 ,5
Low Fat,FDF16,54,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.086266286, $147.21 ,5
Low Fat,FDU04,55,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.005557062, $122.14 ,5
Low Fat,FDP04,56,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.013834247, $62.72 ,5
Low Fat,FDD05,57,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.016637301, $120.91 ,5
Low Fat,FDV07,58,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.031331581, $111.12 ,5
Low Fat,FDT20,59,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.041459804, $39.22 ,5
Low Fat,FDC44,60,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0, $111.95 ,5
Low Fat,DRM59,61,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.003597678, $153.90 ,5
Low Fat,DRG23,62,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.086916126, $153.37 ,5
Low Fat,NCJ29,63,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.035247642, $84.72 ,5
Low Fat,NCM42,64,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.028365524, $110.09 ,5
Low Fat,NCY42,65,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.015186146, $144.95 ,5
Low Fat,NCX54,66,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.048134591, $107.76 ,5
Low Fat,NCI06,67,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.047791878, $180.77 ,5
Low Fat,NCQ02,68,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.007468056, $186.96 ,5
Low Fat,NCR38,69,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.113694957, $253.47 ,5
Low Fat,NCM30,70,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.067400032, $41.98 ,5
Low Fat,FDK43,71,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.026882496, $126.30 ,5
Low Fat,FDK21,72,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.010027885, $249.64 ,5
